Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_009.tif,21.18527165322559,0.13868867940845156,0.8289962410926819,0.08525718003511429,0.2278864124789834
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_008.tif,22.454874062766102,0.18954019366871816,0.8590792417526245,0.07227838784456253,0.25539542380720376
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_011.tif,23.403270654766466,0.19679691142505282,0.8874123692512512,0.06396555155515671,0.24991843532770872
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_006.tif,22.663681303018247,0.15683800975134315,0.8395739793777466,0.07132456451654434,0.23471863232553006
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_010.tif,22.303112824309927,0.17203150816968565,0.8563162088394165,0.07406079769134521,0.24393484015017747
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_012.tif,22.364020395467676,0.17629773140836155,0.8626548647880554,0.07336606830358505,0.24938897807151078
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_016.tif,23.043602027294106,0.17964545906987198,0.8640770316123962,0.06745198369026184,0.2339037224650383
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_013.tif,21.708043676715114,0.1718122414939131,0.8594695925712585,0.07951118797063828,0.22721791341900827
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_014.tif,21.660205915552623,0.14728972710065544,0.8386697173118591,0.08044157922267914,0.2502908993512392
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_015.tif,21.329157616872394,0.16089694812327315,0.8500063419342041,0.08346834778785706,0.2337013466283679
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_018.tif,20.32987193250284,0.15494271859047395,0.8471750020980835,0.09397980570793152,0.24122658111155032
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_020.tif,23.240479088695697,0.18339749294975813,0.8687034249305725,0.06553258746862411,0.23642750978469848
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_017.tif,22.245759078463628,0.167656693959094,0.8538057804107666,0.0745391994714737,0.25289181172847747
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_019.tif,22.01024541450264,0.1759434057868554,0.865365743637085,0.07650081813335419,0.23164768945425748
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_021.tif,22.384527844733398,0.17391572717792003,0.8545544743537903,0.07334689795970917,0.23116526510566474
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_022.tif,23.00775534595411,0.17223539059325557,0.8613165020942688,0.06786109507083893,0.2410641809925437
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_023.tif,21.147086081874708,0.17952305142920014,0.8661993741989136,0.08475165069103241,0.24542776681482792
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_024.tif,22.310147268682492,0.1629550882029976,0.8442525267601013,0.07415930926799774,0.24560932572931052
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_025.tif,22.525864227253244,0.18737146208568173,0.8763535022735596,0.07171286642551422,0.24008485544472932
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_026.tif,22.778980421068816,0.1710761275994642,0.8544676303863525,0.06985782831907272,0.24390899930149318
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_027.tif,20.307840010553804,0.1861915313558308,0.8654229044914246,0.09365006536245346,0.27033652663230895
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_028.tif,22.897845558171504,0.1739493107759941,0.8540851473808289,0.06893203407526016,0.24704526662826537
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_029.tif,21.769378402336123,0.17941942831541,0.8573578000068665,0.07863281667232513,0.24945625234395266
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_030.tif,21.93994788456955,0.1760010503342614,0.8610599040985107,0.07712741196155548,0.23866016808897256
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_032.tif,22.738779701093268,0.18865193976725758,0.8671495318412781,0.07001195847988129,0.23542811386287213
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_031.tif,22.377603267657374,0.16783180162574968,0.854083240032196,0.07349247485399246,0.2462777841836214
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_033.tif,22.82503651144426,0.19098924616145094,0.8546962141990662,0.06891566514968872,0.2452945590019226
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_034.tif,22.334531746296772,0.16515364624163015,0.8546872735023499,0.07369846105575562,0.24130885805934668
